PrimaryKey,Structure,CityName
Hanson2016_1197,Temple,Sidi Ali bou Jenoun
Hanson2016_1197,Temple ('capitolium'),Sidi Ali bou Jenoun
Hanson2016_1197,Temple of Mater Deum,Sidi Ali bou Jenoun
Hanson2016_1197,Unidentified public building,Sidi Ali bou Jenoun
Hanson2016_1197,Urban grid,Sidi Ali bou Jenoun
Hanson2016_1197,Walls,Sidi Ali bou Jenoun
Hanson2016_1198,Amphitheatre,Near Larache
Hanson2016_1198,Baths,Near Larache
Hanson2016_1198,Capitolium,Near Larache
Hanson2016_1198,Forum,Near Larache
Hanson2016_1198,Sanctuary of Hercules / Melqart,Near Larache
Hanson2016_1198,Temple (A),Near Larache
Hanson2016_1198,Temple (B),Near Larache
Hanson2016_1198,Temple (C),Near Larache
Hanson2016_1198,Temple (D),Near Larache
Hanson2016_1198,Temple (E),Near Larache
Hanson2016_1198,Temple (F),Near Larache
Hanson2016_1198,Temple (G),Near Larache
Hanson2016_1198,Temple (H),Near Larache
Hanson2016_1198,Theatre,Near Larache
Hanson2016_1198,Unidentified public building,Near Larache
Hanson2016_1198,Unidentified public building,Near Larache
Hanson2016_1198,Walls,Near Larache
Hanson2016_1198,Walls,Near Larache
Hanson2016_1200,Agora,Rabat
Hanson2016_1200,Arch,Rabat
Hanson2016_1200,Basilica?,Rabat
Hanson2016_1200,Capitolium,Rabat
Hanson2016_1200,Curia?,Rabat
Hanson2016_1200,Forum,Rabat
Hanson2016_1200,Temple (A),Rabat
Hanson2016_1200,Temple (B),Rabat
Hanson2016_1200,Temple (C),Rabat
Hanson2016_1200,Temple (D),Rabat
Hanson2016_1200,Urban grid,Rabat
Hanson2016_1200,Walls,Rabat
Hanson2016_1201,Baths,Sidi Ali ben Ahmed
Hanson2016_1201,Fort,Sidi Ali ben Ahmed
Hanson2016_1201,Fort,Sidi Ali ben Ahmed
Hanson2016_1201,Sanctuary,Sidi Ali ben Ahmed
Hanson2016_1201,Temple,Sidi Ali ben Ahmed
Hanson2016_1201,Temple,Sidi Ali ben Ahmed
Hanson2016_1201,Temple,Sidi Ali ben Ahmed
Hanson2016_1201,Walls,Sidi Ali ben Ahmed
Hanson2016_1202,Baths,Tangier
Hanson2016_1202,Forum,Tangier
Hanson2016_1202,Harbour,Tangier
Hanson2016_1202,Temple,Tangier
Hanson2016_1202,Urban grid,Tangier
Hanson2016_1202,Walls?,Tangier
Hanson2016_1203,Acropolis,Oualili
Hanson2016_1203,Aqueduct,Oualili
Hanson2016_1203,Aqueduct,Oualili
Hanson2016_1203,Arch,Oualili
Hanson2016_1203,Basilica,Oualili
Hanson2016_1203,Baths,Oualili
Hanson2016_1203,Baths,Oualili
Hanson2016_1203,Baths,Oualili
Hanson2016_1203,Capitolium,Oualili
Hanson2016_1203,Forum,Oualili
Hanson2016_1203,Forum,Oualili
Hanson2016_1203,Fountain,Oualili
Hanson2016_1203,Fountain,Oualili
Hanson2016_1203,Macellum,Oualili
Hanson2016_1203,Mithraeum,Oualili
Hanson2016_1203,Temple,Oualili
Hanson2016_1203,Temple of Isis,Oualili
Hanson2016_1203,Temple of Saturn,Oualili
Hanson2016_1203,Urban grid,Oualili
Hanson2016_1203,Walls,Oualili
Hanson2016_1203,Walls,Oualili
Hanson2016_1204,Aqueduct,Dchar Jedid
Hanson2016_1204,Baths,Dchar Jedid
Hanson2016_1204,Temple,Dchar Jedid
Hanson2016_1204,Theatre,Dchar Jedid
Hanson2016_1204,Walls,Dchar Jedid
Hanson2016_1205,Harbour,Mangalia
Hanson2016_1205,Theatre,Mangalia
Hanson2016_1205,Unidentified public building,Mangalia
Hanson2016_1205,Unidentified public building,Mangalia
Hanson2016_1205,Walls,Mangalia
Hanson2016_1205,Walls,Mangalia
Hanson2016_1206,Fort,Silistra
Hanson2016_1206,Naval base,Silistra
Hanson2016_1206,Urban grid,Silistra
Hanson2016_1207,Agora,Histria
Hanson2016_1207,Basilica,Histria
Hanson2016_1207,Baths,Histria
Hanson2016_1207,Baths,Histria
Hanson2016_1207,Harbour,Histria
Hanson2016_1207,Macellum,Histria
Hanson2016_1207,Naval base,Histria
Hanson2016_1207,Temple of Aphrodite,Histria
Hanson2016_1207,Temple of Theos Megas,Histria
Hanson2016_1207,Temple of Zeus Polieus,Histria
Hanson2016_1207,Theatre,Histria
Hanson2016_1207,Walls,Histria
Hanson2016_1207,Walls,Histria
Hanson2016_1207,Walls,Histria
Hanson2016_1207,Walls,Histria
Hanson2016_1208,Amphitheatre,Reka Devnija
Hanson2016_1208,Forum,Reka Devnija
Hanson2016_1208,Urban grid,Reka Devnija
Hanson2016_1209,Theatre,Missiori
Hanson2016_1209,Walls,Missiori
Hanson2016_1210,Aqueduct,Nikup
Hanson2016_1210,Bouleuterion,Nikup
Hanson2016_1210,Forum,Nikup
Hanson2016_1210,Odeum,Nikup
Hanson2016_1210,Temple,Nikup
Hanson2016_1210,Urban grid,Nikup
Hanson2016_1210,Walls,Nikup
Hanson2016_1210,Walls,Nikup
Hanson2016_1211,Baths,Staklen
Hanson2016_1211,Fort,Staklen
Hanson2016_1211,Walls,Staklen
Hanson2016_1211,Walls,Staklen
Hanson2016_1212,Agora?,Varna
Hanson2016_1212,Baths,Varna
Hanson2016_1212,Harbour,Varna
Hanson2016_1212,Naval base?,Varna
Hanson2016_1212,Urban grid?,Varna
Hanson2016_1212,Walls,Varna
Hanson2016_1212,Walls,Varna
Hanson2016_1212,Walls,Varna
Hanson2016_1213,Aqueduct,Gigen
Hanson2016_1213,Aqueduct,Gigen
Hanson2016_1213,Baths,Gigen
Hanson2016_1213,Bridge,Gigen
Hanson2016_1213,Fort,Gigen
Hanson2016_1213,Fort,Gigen
Hanson2016_1213,Forum,Gigen
Hanson2016_1213,Temple of Fortuna,Gigen
Hanson2016_1213,Walls,Gigen
Hanson2016_1213,Walls,Gigen
Hanson2016_1214,Amphitheatre,Constanta
Hanson2016_1214,Baths,Constanta
Hanson2016_1214,Harbour,Constanta
Hanson2016_1214,Naval base,Constanta
Hanson2016_1214,Temple,Constanta
Hanson2016_1214,Theatre,Constanta
Hanson2016_1214,Walls,Constanta
Hanson2016_1215,Fort,Drobudja
Hanson2016_1215,Temple ('capitolium'),Drobudja
Hanson2016_1215,Walls,Drobudja
Hanson2016_1216,Fort,Adamclisi
Hanson2016_1216,Forum,Adamclisi
Hanson2016_1216,Urban grid,Adamclisi
Hanson2016_1216,Walls,Adamclisi
Hanson2016_1217,Basilica,Unknown
Hanson2016_1217,Baths,Unknown
Hanson2016_1217,Baths,Unknown
Hanson2016_1217,Forum,Unknown
Hanson2016_1217,Temple,Unknown
Hanson2016_1218,Baths,Turnu Severin
Hanson2016_1218,Bridge,Turnu Severin
Hanson2016_1218,Fort,Turnu Severin
Hanson2016_1218,Temple of Cybele,Turnu Severin
Hanson2016_1218,Walls,Turnu Severin
Hanson2016_1219,Baths,Dubravica
Hanson2016_1219,Fort,Dubravica
Hanson2016_1220,Fort,Montana
Hanson2016_1221,Fort,Niš
Hanson2016_1222,Fort,Archar
Hanson2016_1222,Forum?,Archar
Hanson2016_1222,Urban grid,Archar
Hanson2016_1222,Walls,Archar
Hanson2016_1223,Forum?,Bela Palanka
Hanson2016_1223,Urban grid,Bela Palanka
Hanson2016_1223,Walls,Bela Palanka
Hanson2016_1224,Acropolis,Skopje
Hanson2016_1224,Aqueduct,Skopje
Hanson2016_1224,Aqueduct,Skopje
Hanson2016_1224,Aqueduct,Skopje
Hanson2016_1224,Basilica,Skopje
Hanson2016_1224,Baths,Skopje
Hanson2016_1224,Fort?,Skopje
Hanson2016_1224,Fort?,Skopje
Hanson2016_1224,Macellum,Skopje
Hanson2016_1224,Temple of Hercules,Skopje
Hanson2016_1224,Theatre,Skopje
Hanson2016_1224,Walls,Skopje
Hanson2016_1225,Forum,Belgrade
Hanson2016_1226,Baths,Gračanica
Hanson2016_1226,Fort,Gračanica
Hanson2016_1226,Urban grid?,Gračanica
Hanson2016_1226,Walls,Gračanica
Hanson2016_1227,Amphitheatre,Kostolac
Hanson2016_1227,Baths,Kostolac
Hanson2016_1227,Fort,Kostolac
Hanson2016_1227,Fort,Kostolac
Hanson2016_1227,Forum,Kostolac
Hanson2016_1227,Hippodrome,Kostolac
Hanson2016_1227,Temple,Kostolac
Hanson2016_1227,Temple,Kostolac
Hanson2016_1228,Fort,Kostolac
Hanson2016_1228,Fort,Kostolac
Hanson2016_1229,Basilica,Dölsach and Nußdorf Debant
Hanson2016_1229,Baths,Dölsach and Nußdorf Debant
Hanson2016_1229,Forum,Dölsach and Nußdorf Debant
Hanson2016_1229,Temple ('capitolium'),Dölsach and Nußdorf Debant
Hanson2016_1229,Walls,Dölsach and Nußdorf Debant
Hanson2016_1231,Amphitheatre,Solfeld
Hanson2016_1231,Forum,Solfeld
Hanson2016_1231,Urban grid,Solfeld
Hanson2016_1232,Arch,Salzburg
Hanson2016_1232,Forum,Salzburg
Hanson2016_1232,Temple,Salzburg
Hanson2016_1232,Temple of Asclepius,Salzburg
Hanson2016_1232,Unidentified public building,Salzburg
Hanson2016_1232,Urban grid,Salzburg
Hanson2016_1233,Basilica,Lorch
Hanson2016_1233,Baths,Lorch
Hanson2016_1233,Baths,Lorch
Hanson2016_1233,Fort,Lorch
Hanson2016_1233,Fort,Lorch
Hanson2016_1233,Forum,Lorch
Hanson2016_1233,Forum (Venale),Lorch
Hanson2016_1233,Sanctuary,Lorch
Hanson2016_1234,Amphitheatre,Wels
Hanson2016_1234,Aqueduct,Wels
Hanson2016_1234,Forum,Wels
Hanson2016_1234,Walls,Wels
Hanson2016_1235,Aqueduct,Ptuj
Hanson2016_1235,Aqueduct,Ptuj
Hanson2016_1235,Bridge,Ptuj
Hanson2016_1235,Fort,Ptuj
Hanson2016_1235,Forum,Ptuj
Hanson2016_1235,Mithraeum,Ptuj
Hanson2016_1235,Mithraeum,Ptuj
Hanson2016_1235,Temple,Ptuj
Hanson2016_1235,Temple of Jupiter Ammon,Ptuj
Hanson2016_1235,Temple of the Augustales,Ptuj
Hanson2016_1235,Temple of Vulcan and Venus,Ptuj
Hanson2016_1235,Walls,Ptuj
